"","BMP4_1ug","BMP4_2ug","NTC"
"6D",0,0,0
"A1bg",0,0,0
"A1cf",2,2,3
"A3galt2",27,27,23
"A4galt",66,59,38
"A4gnt",1,0,0
"A630020A06",0,2,1
"AA387883",0,0,0
"AA388235",0,0,0
"AA413626",1,1,1
"AA414768",37,26,36
"AA415398",5,17,8
"AA536875",0,0,0
"AA543186",6,14,3
"AA543401",0,0,0
"AA545190",0,0,0
"AA619741",1,0,0
"AA986860",18,8,19
"AB001425",0,0,0
"AB033516",2,0,2
"AB033524",1,0,0
"AB124611",0,1,1
"AB250976",0,0,0
"AB251034",0,0,0
"AB251038",0,0,0
"AB251048",0,0,0
"AB251080",0,0,0
"AB251090",0,0,0
"AB251129",0,0,0
"AB251138",0,0,0
"AB251161",0,0,0
"AB251164",1,0,0
"AB251181",0,0,0
"AB251193",0,0,0
"AB251227",0,0,0
"AB251234",0,0,0
"AB251235",0,0,0
"AB251236",0,0,0
"AB251241",0,0,0
"AB251246",0,0,0
"AB251255",0,0,0
"AB251281",0,0,0
"AB251326",0,0,0
"AB251337",0,0,0
"AB334825",0,0,0
"AB334932",0,0,0
"AB334937",0,0,0
"AB335323",0,0,0
"AB335328",0,0,0
"AB335442",0,0,0
"AB335447",0,0,0
"AB335470",0,0,0
"AB335611",0,0,0
"AB335614",0,0,0
"AB335643",0,0,0
"AB335648",0,0,0
"AB335691",0,0,0
"AB335697",0,0,0
"AB335713",0,0,0
"AB335717",0,0,0
"AB335737",0,0,0
"AB335738",0,0,0
"AB335742",0,0,0
"AB335744",0,0,0
"AB335790",0,0,0
"AB335791",1,1,0
"AB335823",0,0,0
"AB335841",0,0,0
"AB335855",0,0,0
"AB335922",0,0,0
"AB335951",360,262,615
"AB336345",2,0,1
"AB336370",0,0,0
"AB336401",0,1,0
"AB336449",0,0,0
"AB336457",0,0,0
"AB336502",0,0,0
"AB336507",0,0,0
"AB336517",0,0,0
"AB336556",0,0,0
"AB336562",0,0,0
"AB336574",0,0,0
"AB336585",3,1,0
"AB336627",0,1,0
"AB336633",0,0,0
"AB336671",0,0,0
"AB336678",1,0,0
"AB336690",2,0,1
"AB336698",0,0,2
"AB336730",0,0,0
"AB336736",1,1,1
"AB336747",1,3,0
"AB336760",0,0,0
"AB336765",0,1,0
"AB336790",0,0,0
"AB336793",0,1,0
"AB336799",0,0,0
"AB336801",0,0,0
"AB336802",0,0,1
"AB336827",0,1,1
"AB336885",0,0,0
"AB336927",0,0,0
"AB336957",0,0,1
"AB337250",0,0,0
"AB337257",0,0,0
"AB337363",0,0,0
"AB337379",0,0,0
"AB337561",0,0,0
"AB337572",0,0,0
"AB337652",0,0,0
"AB337655",0,0,0
"AB337668",0,0,0
"AB337679",0,0,0
"AB337725",0,0,0
"AB337734",0,0,0
"AB337741",0,0,0
"AB337757",0,0,0
"AB337772",0,0,0
"AB337790",0,0,0
"AB337820",0,0,0
"AB337824",0,0,0
"AB337831",0,0,0
"AB337837",0,0,0
"AB339095",0,0,0
"AB339101",0,0,0
"AB339134",0,0,0
"AB339136",0,0,0
"AB339176",0,0,0
"AB339339",0,0,0
"AB339353",0,0,1
"AB339385",0,0,0
"AB339665",0,0,0
"AB339701",0,0,0
"AB339715",0,0,0
"AB339720",0,1,0
"AB339756",0,0,0
"AB339759",0,0,0
"AB339817",0,0,0
"AB339827",0,0,0
"AB339828",0,0,0
"AB339834",0,0,0
"AB339841",0,0,0
"AB339848",0,0,0
