"","x"
"1","AB347151"
"2","AB347871"
"3","AB347889"
"4","AK008665"
"5","AK047717;Ube2v2"
"6","AK155692"
"7","AK186242"
"8","AK186650"
"9","AK191723"
"10","AK195420"
"11","AK199495"
"12","AK201904"
"13","AK202494"
"14","AK202495"
"15","AK205396"
"16","AK206180;Serf2"
"17","AK207688"
"18","AK217986"
"19","AK220028"
"20","Acp1"
"21","Actg1;Mir6935"
"22","Ahcy"
"23","Amd1"
"24","Atp5g1"
"25","Atp5g2"
"26","Atp5l"
"27","Atp6v0c"
"28","BC002163"
"29","BC069931"
"30","Btf3"
"31","Cbx3"
"32","Cycs"
"33","DQ555148"
"34","DQ693239"
"35","DQ703715"
"36","DQ714940"
"37","DQ715306"
"38","DQ722429"
"39","Dstn"
"40","Dynlt1a"
"41","Erh"
"42","FW313050"
"43","Fau"
"44","Fbl"
"45","Fyb"
"46","Gapdh"
"47","Gm11517"
"48","Gm12504"
"49","Gm1604b;Rnaset2b"
"50","Gm5643"
"51","Gm6402"
"52","Gm6525"
"53","Gm6548"
"54","Gm6654"
"55","Gps1"
"56","H2afz"
"57","Hist1h2ac"
"58","Hist1h2ad"
"59","Hist1h2af"
"60","Hist1h2ag"
"61","Hist1h2ah"
"62","Hist1h2ak"
"63","Hist1h2ao"
"64","Hmgb1"
"65","Hmgn2"
"66","Hnrnpa3"
"67","Impdh2"
"68","Itgam"
"69","Kpna2"
"70","Lamp3"
"71","Lrrc58"
"72","Lsm7"
"73","Mir3077;Sap18"
"74","Mir682"
"75","Mir684-1;Sumo2"
"76","Mir7067;Rpl18a"
"77","Mrps18b"
"78","Nhp2l1"
"79","Nop56"
"80","Nsa2"
"81","Nutf2"
"82","Pin4"
"83","Polr2l"
"84","Ppia"
"85","Ppp1cc"
"86","Psma3"
"87","Rbm3"
"88","Rnps1"
"89","Rplp2-ps1;Wdr89"
"90","Sec61g"
"91","Smarca5-ps"
"92","Srp54a"
"93","Timm23"
"94","Tma7"
"95","Tomm20"
"96","Tpt1"
"97","Trmt112"
"98","Tuba1a"
"99","Ube2i"
"100","Vcp"
"101","Zbed5"
"102","abParts;AK002875;AK037822;AK135975;AK156292;Igha;Igh-A (1g2);Ighd;Ighe;Ighg1;Ighg2c;M13680;M25573;M36767;mFLJ00385;Mir7094-2;V00821"
"103","2410006H16Rik;Snord65"
"104","2810474O19Rik"
"105","AI506816"
"106","AK017434;Kif5b"
"107","AK020376;Zranb1"
"108","AK041758;Ints6"
"109","AK043218;Pbrm1"
"110","AK048498;Phip"
"111","AK083567;Matr3"
