"","metacell","color","cell_type"
"1","1","#635547","Epiblast"
"2","2","#635547","Epiblast"
"3","3","#635547","Epiblast"
"4","4","#635547","Epiblast"
"5","5","#635547","Epiblast"
"6","6","#635547","Epiblast"
"7","7","#635547","Epiblast"
"8","8","#635547","Epiblast"
"9","9","#635547","Epiblast"
"10","10","#635547","Epiblast"
"11","11","#635547","Epiblast"
"12","12","#635547","Epiblast"
"13","13","#635547","Epiblast"
"14","14","#DABE99","Primitive streak"
"15","15","#635547","Epiblast"
"16","16","#635547","Epiblast"
"17","17","#635547","Epiblast"
"18","18","#635547","Epiblast"
"19","19","#635547","Epiblast"
"20","20","#635547","Epiblast"
"21","21","#635547","Epiblast"
"22","22","#635547","Epiblast"
"23","23","#635547","Epiblast"
"24","24","#635547","Epiblast"
"25","25","#DABE99","Primitive streak"
"26","26","#635547","Epiblast"
"27","27","#635547","Epiblast"
"28","28","#635547","Epiblast"
"29","29","#635547","Epiblast"
"30","30","#635547","Epiblast"
"31","31","#635547","Epiblast"
"32","32","#635547","Epiblast"
"33","33","#635547","Epiblast"
"34","34","#635547","Epiblast"
"35","35","#DABE99","Primitive streak"
"36","36","#635547","Epiblast"
"37","37","#635547","Epiblast"
"38","38","#635547","Epiblast"
"39","39","#90BF75","Definitive ectoderm"
"40","40","#90BF75","Definitive ectoderm"
"41","41","#635547","Epiblast"
"42","42","#635547","Epiblast"
"43","43","#635547","Epiblast"
"44","44","#635547","Epiblast"
"45","45","#649146","Rostral neural plate"
"46","46","#635547","Epiblast"
"47","47","#635547","Epiblast"
"48","48","#635547","Epiblast"
"49","49","#635547","Epiblast"
"50","50","#635547","Epiblast"
"51","51","#635547","Epiblast"
"52","52","#635547","Epiblast"
"53","53","#635547","Epiblast"
"54","54","#635547","Epiblast"
"55","55","#635547","Epiblast"
"56","56","#635547","Epiblast"
"57","57","#635547","Epiblast"
"58","58","#635547","Epiblast"
"59","59","#635547","Epiblast"
"60","60","#90BF75","Definitive ectoderm"
"61","61","#635547","Epiblast"
"62","62","#635547","Epiblast"
"63","63","#635547","Epiblast"
"64","64","#635547","Epiblast"
"65","65","#635547","Epiblast"
"66","66","#90BF75","Definitive ectoderm"
"67","67","#635547","Epiblast"
"68","68","#635547","Epiblast"
"69","69","#635547","Epiblast"
"70","70","#635547","Epiblast"
"71","71","#90BF75","Definitive ectoderm"
"72","72","#649146","Rostral neural plate"
"73","73","#DABE99","Primitive streak"
"74","74","#635547","Epiblast"
"75","75","#635547","Epiblast"
"76","76","#635547","Epiblast"
"77","77","#635547","Epiblast"
"78","78","#635547","Epiblast"
"79","79","#90BF75","Definitive ectoderm"
"80","80","#635547","Epiblast"
"81","81","#635547","Epiblast"
"82","82","#635547","Epiblast"
"83","83","#DABE99","Primitive streak"
"84","84","#635547","Epiblast"
"85","85","#635547","Epiblast"
"86","86","#635547","Epiblast"
"87","87","#635547","Epiblast"
"88","88","#635547","Epiblast"
"89","89","#635547","Epiblast"
"90","90","#635547","Epiblast"
"91","91","#635547","Epiblast"
"92","92","#90BF75","Definitive ectoderm"
"93","93","#635547","Epiblast"
"94","94","#DABE99","Primitive streak"
"95","95","#635547","Epiblast"
"96","96","#635547","Epiblast"
"97","97","#DABE99","Primitive streak"
"98","98","#635547","Epiblast"
"99","99","#635547","Epiblast"
"100","100","#90BF75","Definitive ectoderm"
"101","101","#635547","Epiblast"
"102","102","#635547","Epiblast"
"103","103","#635547","Epiblast"
"104","104","#635547","Epiblast"
"105","105","#635547","Epiblast"
"106","106","#635547","Epiblast"
"107","107","#635547","Epiblast"
"108","108","#90BF75","Definitive ectoderm"
"109","109","#635547","Epiblast"
"110","110","#635547","Epiblast"
"111","111","#635547","Epiblast"
"112","112","#635547","Epiblast"
"113","113","#635547","Epiblast"
"114","114","#635547","Epiblast"
"115","115","#635547","Epiblast"
"116","116","#635547","Epiblast"
"117","117","#DABE99","Primitive streak"
"118","118","#635547","Epiblast"
"119","119","#635547","Epiblast"
"120","120","#DABE99","Primitive streak"
"121","121","#90BF75","Definitive ectoderm"
"122","122","#90BF75","Definitive ectoderm"
"123","123","#635547","Epiblast"
"124","124","#635547","Epiblast"
"125","125","#635547","Epiblast"
"126","126","#635547","Epiblast"
"127","127","#635547","Epiblast"
"128","128","#649146","Rostral neural plate"
"129","129","#635547","Epiblast"
"130","130","#635547","Epiblast"
"131","131","#649146","Rostral neural plate"
"132","132","#635547","Epiblast"
"133","133","#635547","Epiblast"
"134","134","#635547","Epiblast"
"135","135","#DABE99","Primitive streak"
"136","136","#635547","Epiblast"
"137","137","#635547","Epiblast"
"138","138","#635547","Epiblast"
"139","139","#635547","Epiblast"
"140","140","#635547","Epiblast"
"141","141","#635547","Epiblast"
"142","142","#635547","Epiblast"
"143","143","#635547","Epiblast"
"144","144","#635547","Epiblast"
"145","145","#635547","Epiblast"
"146","146","#635547","Epiblast"
"147","147","#635547","Epiblast"
"148","148","#635547","Epiblast"
"149","149","#635547","Epiblast"
"150","150","#DABE99","Primitive streak"
"151","151","#635547","Epiblast"
"152","152","#635547","Epiblast"
"153","153","#635547","Epiblast"
"154","154","#635547","Epiblast"
"155","155","#635547","Epiblast"
"156","156","#635547","Epiblast"
