"","cell","treat","metacell","color","cell_type"
"1","CTC3_p1.CTC3_p1001","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"2","CTC3_p1.CTC3_p1002","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"3","CTC3_p1.CTC3_p1003","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"4","CTC3_p1.CTC3_p1005","BMP4_2ug","M106.71","#53f1fc","Cardiopharyngeal mesoderm"
"5","CTC3_p1.CTC3_p1007","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"6","CTC3_p1.CTC3_p1008","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"7","CTC3_p1.CTC3_p1009","BMP4_2ug","M1944.15","#C594BF","Early nascent mesoderm"
"8","CTC3_p1.CTC3_p1011","BMP4_2ug","M938.32","#635547","Epiblast"
"9","CTC3_p1.CTC3_p1012","BMP4_2ug","M948.23","#635547","Epiblast"
"10","CTC3_p1.CTC3_p1013","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"11","CTC3_p1.CTC3_p1014","BMP4_2ug","M1978.41","#DFCDE4","Late nascent mesoderm"
"12","CTC3_p1.CTC3_p1015","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"13","CTC3_p1.CTC3_p1016","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"14","CTC3_p1.CTC3_p1017","BMP4_2ug","M987.37","#90BF75","Definitive ectoderm"
"15","CTC3_p1.CTC3_p1018","BMP4_2ug","M950.86","#90BF75","Definitive ectoderm"
"16","CTC3_p1.CTC3_p1019","BMP4_2ug","M1518.42","#ffd854","Chorion progenitors"
"17","CTC3_p1.CTC3_p1021","BMP4_2ug","M1978.41","#DFCDE4","Late nascent mesoderm"
"18","CTC3_p1.CTC3_p1023","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"19","CTC3_p1.CTC3_p1024","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"20","CTC3_p1.CTC3_p1025","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"21","CTC3_p1.CTC3_p1026","BMP4_2ug","M743.24","#cc7818","Amnion/Chorion progenitor"
"22","CTC3_p1.CTC3_p1027","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"23","CTC3_p1.CTC3_p1028","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"24","CTC3_p1.CTC3_p1029","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"25","CTC3_p1.CTC3_p1031","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"26","CTC3_p1.CTC3_p1033","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"27","CTC3_p1.CTC3_p1034","BMP4_2ug","M2045.92","#DABE99","Primitive streak"
"28","CTC3_p1.CTC3_p1035","BMP4_2ug","M1010.58","#d6616b","EPC progenitors"
"29","CTC3_p1.CTC3_p1036","BMP4_2ug","M1010.58","#d6616b","EPC progenitors"
"30","CTC3_p1.CTC3_p1038","BMP4_2ug","M1077.15","#d6616b","EPC progenitors"
"31","CTC3_p1.CTC3_p1039","BMP4_2ug","M995.99","#90BF75","Definitive ectoderm"
"32","CTC3_p1.CTC3_p1040","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"33","CTC3_p1.CTC3_p1041","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"34","CTC3_p1.CTC3_p1042","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"35","CTC3_p1.CTC3_p1043","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"36","CTC3_p1.CTC3_p1044","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"37","CTC3_p1.CTC3_p1045","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"38","CTC3_p1.CTC3_p1046","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"39","CTC3_p1.CTC3_p1047","BMP4_2ug","M899.08","#635547","Epiblast"
"40","CTC3_p1.CTC3_p1048","BMP4_2ug","M771.80","#cc7818","Amnion/Chorion progenitor"
"41","CTC3_p1.CTC3_p1053","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"42","CTC3_p1.CTC3_p1054","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"43","CTC3_p1.CTC3_p1055","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"44","CTC3_p1.CTC3_p1056","BMP4_2ug","M989.95","#90BF75","Definitive ectoderm"
"45","CTC3_p1.CTC3_p1057","BMP4_2ug","M1231.34","#7F6874","ExE visceral endoderm"
"46","CTC3_p1.CTC3_p1059","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"47","CTC3_p1.CTC3_p1060","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"48","CTC3_p1.CTC3_p1061","BMP4_2ug","M995.99","#90BF75","Definitive ectoderm"
